Date / Time,City,State,Shape,Duration,Summary,Posted
9/18/2014 21:41,Woodstock (Canada),ON,Circle,5 minutes,"Woodstock, Ontario, UFO sighting.",9/25/2014
9/18/2014 21:35,Millen,GA,Other,15 seconds,Four bright white lights attached to a football shaped glossy black object.,9/25/2014
9/18/2014 21:30,Kingston,OH,Changing,~2 minutes,Chillicothe lights.,9/25/2014
9/18/2014 21:30,Attica,MI,Circle,10 minutes,Orb pulsing and traveling fast.,9/25/2014
9/18/2014 21:30,Bainbridge,OH,Flash,30 minutes,Flashing white lights moving at incredible speeds. ((NUFORC Note: Report from aerospace employee. PD)),9/25/2014
9/18/2014 21:30,Maynard,MA,Unknown,5 minutes,Traveling on Waltham Street toward Stow when I saw a bright blue light hovering above the Fire Dept approximately 200 feet in the air.,9/25/2014
9/18/2014 21:30,Sanford,FL,Light,15 seconds,Large bright white light as if an aircraft was soon to land but no flashing/strobe lights at all then disappeared.,9/25/2014
9/18/2014 21:30,Augusta,GA,Formation,1 minute,Lights seen two times. Different formations but all blinked out slowly.,9/25/2014
9/18/2014 21:20,Friedens,PA,Fireball,10 minutes,Additional information indicates the sighting was likely sky lanterns that were used at a small remembrance ceremony.,9/25/2014
9/18/2014 21:00,North Myrtle Beach,SC,Diamond,10 seconds,4 bright orange/reddish lights in a perfect diamond.,9/25/2014
9/18/2014 21:00,Hillsborough,NH,Triangle,20 seconds,"My boyfriend and I seen three, triangle-shaped crafts slowly fly together in a triangle formation.",9/25/2014
9/18/2014 20:30,Las Vegas,NV,Light,15 minutes,"Sets of orange flare-like objects blink in & out, varying positions along Northern Vegas skyline.",9/25/2014
9/18/2014 19:50,Tipp City,OH,Oval,1 minute,Oval shaped craft spotted.,9/25/2014
9/18/2014 19:50,Rileyville,PA,Fireball,5 minutes,Three fireballs flew over.,9/25/2014
9/18/2014 19:30,Streetsboro,OH,Light,30 minutes,Right outside my bedroom window I started to see these lights flashing back and forth. They were very bright and my first reaction wa,9/25/2014
9/18/2014 19:00,Atlanta,GA,Light,~2 minutes,A bright blue light hovering over downtown Atlanta Ga.,9/25/2014
9/18/2014 18:30,Catasauqua,PA,Cigar,~20 minutes,"While driving west on Race Street in Catasauqua, i saw a bright orange, cigar shaped - looked like a short comet tail in the western sk",9/25/2014
9/18/2014 17:35,Quarryville,PA,Light,10 minute,16 orange lights in pairs sighted southern skies of eastern PA.,9/25/2014
9/18/2014 14:30,Denver,CO,Cylinder,5-10 seconds,"A short cylinder with slightly domed top, headed North West, disappeared not due to speeding off, but literally vanished.",9/18/2014
9/18/2014 7:50,Wilmont/Andover,NH,Fireball,5 minutes,I was driving to school this morning and I looked up and noticed this shape encased in a white film rappidly flying threw the air.,9/25/2014
9/18/2014 7:30,Savannah,GA,Cylinder,15 minutes,Sitting out having coffee watching a flock of birds . I noticed a white cylinder object moving threw the sky .it made no sound and no e,9/18/2014
9/18/2014 2:08,Samba (Jammu)(India),,Other,13 minutes,"I was sleeping suddenly i felt that somebody contact with me with my brain.i was sleeping at that moment ,i realize that somebody c",9/18/2014
9/18/2014 2:00,Lakewood,CO,Light,:45,Light seen in sky over Lakewood area.,9/25/2014
9/17/2014 23:20,Melbourne (???),FL,Other,4 minutes,Seen distinctively by two witnesses!!,9/18/2014
9/17/2014 22:40,Williamsport,PA,Fireball,1 minute,Orange/White ball travels horizontal for approximately 20 secs. Changes to a vertical position for 20-25 secs. Disappears. SonicBoom/Ex,9/18/2014
9/17/2014 22:24,Surfside Beach,SC,Fireball,5 minutes,Round shape that appeared like a ball of red light.,9/18/2014
9/17/2014 22:10,Kailua,HI,Circle,10 minutes,"A round red soft ball size with no sound at three stories high coming from the north-east slowly gliding above Pu'naa Street, Kailua, H",9/18/2014
9/17/2014 22:01,Hanahan,SC,Triangle,30 seconds,Is saw a triangle shape aircraft about 1500 feet in the sky that made no noise and had odd blinking lights.,9/18/2014
9/17/2014 22:00,Louisville,TN,Circle,5 seconds,I saw a bright light light of enormous intensity above the tree line.,9/18/2014
9/17/2014 22:00,Myrtle Beach,SC,Circle,1 minute,"Three red lights over the ocean in Myrtle Beach, flashed from left to right three times, then disappeared.",9/18/2014
9/17/2014 21:35,Wickenburg,AZ,Circle,5 minutes,4 bright amber lights.,9/25/2014
9/17/2014 21:33,Valley,AL,Light,5 minutes,"More flying ""dots"" stars, this one noticably large and bright.",9/18/2014
9/17/2014 20:55,Des Moines,WA,Circle,~3 minutes,Light in the sky slowly changes from orange to red as crosses the sky.,9/18/2014
