"ObservationDate","Height","Build","HeightFeet","HeightInches","EstimatedWeightPounds","BMI","CDCWeightStatus"
"5/24/1988","8 ft","medium",8,96,529,40.3523220486111,"Obese"
"10/21/1989","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"9/1/1971","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"7/29/1987","9-10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"6/18/1905","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"7/31/1991","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"2/1/1991","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"5/1/1980","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"8/12/1995","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/28/1995","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"3/21/1988","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"3/30/1993","5-6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"7/1/1963","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"5/1/1984","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"5/25/1997","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/17/1993","9 ft","very heavy",9,108,1012,60.9941700960219,"Obese"
"2/14/1986","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"11/1/1992","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"9/11/1993","10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"7/2/1996","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"11/17/1988","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"9/18/1993","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"6/8/1991","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/1/1973","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"12/21/1992","6 ft","medium",6,72,529,71.7374614197531,"Obese"
"7/1/1987","8 ft","medium",8,96,529,40.3523220486111,"Obese"
"2/25/1995","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
